2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment
2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_mixed
2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_mixed/best_status
2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_mixed/visual
2022-04-04 04:13:37 |[057]options.py  | Available gpu: 0
2022-04-04 04:13:37 |[048]train.py    | Create train dataset successfully!
2022-04-04 04:13:37 |[049]train.py    | Training: [10093] iterations for each epoch
2022-04-04 04:13:37 |[052]train.py    | Create val dataset successfully!
2022-04-04 04:13:37 |[053]train.py    | Validating: [898] iterations for each epoch
2022-04-04 04:13:37 |[056]train.py    | Preparing for experiment: [qsrm_x4_mixed]
2022-04-04 04:13:38 |[117]solver.py   | Create model successfully! Params: [62.05]K
2022-04-04 04:13:38 |[060]train.py    | Start training...
2022-04-04 04:29:33 |[215]solver.py   | Epoch:    0 | PSNR: 26.77 | Loss: 21.0492 | Best_PSNR: 26.77 in Epoch [0]
2022-04-04 04:45:25 |[215]solver.py   | Epoch:    1 | PSNR: 26.92 | Loss: 20.1091 | Best_PSNR: 26.92 in Epoch [1]
2022-04-04 05:01:16 |[215]solver.py   | Epoch:    2 | PSNR: 26.94 | Loss: 19.9560 | Best_PSNR: 26.94 in Epoch [2]
2022-04-04 05:17:06 |[215]solver.py   | Epoch:    3 | PSNR: 26.94 | Loss: 19.8290 | Best_PSNR: 26.94 in Epoch [2]
2022-04-04 05:32:57 |[215]solver.py   | Epoch:    4 | PSNR: 26.96 | Loss: 19.7282 | Best_PSNR: 26.96 in Epoch [4]
2022-04-04 05:48:47 |[215]solver.py   | Epoch:    5 | PSNR: 26.97 | Loss: 19.6904 | Best_PSNR: 26.97 in Epoch [5]
2022-04-04 06:04:37 |[215]solver.py   | Epoch:    6 | PSNR: 26.98 | Loss: 19.6524 | Best_PSNR: 26.98 in Epoch [6]
2022-04-04 06:20:30 |[215]solver.py   | Epoch:    7 | PSNR: 27.01 | Loss: 19.6884 | Best_PSNR: 27.01 in Epoch [7]
2022-04-04 06:36:24 |[215]solver.py   | Epoch:    8 | PSNR: 26.94 | Loss: 19.6025 | Best_PSNR: 27.01 in Epoch [7]
2022-04-04 06:52:16 |[215]solver.py   | Epoch:    9 | PSNR: 27.03 | Loss: 19.5743 | Best_PSNR: 27.03 in Epoch [9]
2022-04-04 07:08:07 |[215]solver.py   | Epoch:   10 | PSNR: 27.04 | Loss: 19.5309 | Best_PSNR: 27.04 in Epoch [10]
2022-04-04 07:24:06 |[215]solver.py   | Epoch:   11 | PSNR: 27.01 | Loss: 19.5319 | Best_PSNR: 27.04 in Epoch [10]
2022-04-04 07:40:02 |[215]solver.py   | Epoch:   12 | PSNR: 27.00 | Loss: 19.4927 | Best_PSNR: 27.04 in Epoch [10]
2022-04-04 07:56:00 |[215]solver.py   | Epoch:   13 | PSNR: 27.03 | Loss: 19.4997 | Best_PSNR: 27.04 in Epoch [10]
2022-04-04 08:11:59 |[215]solver.py   | Epoch:   14 | PSNR: 27.04 | Loss: 19.4933 | Best_PSNR: 27.04 in Epoch [10]
2022-04-04 08:27:52 |[215]solver.py   | Epoch:   15 | PSNR: 27.02 | Loss: 19.5055 | Best_PSNR: 27.04 in Epoch [10]
2022-04-04 08:43:51 |[215]solver.py   | Epoch:   16 | PSNR: 26.99 | Loss: 19.5093 | Best_PSNR: 27.04 in Epoch [10]
2022-04-04 08:59:49 |[215]solver.py   | Epoch:   17 | PSNR: 27.06 | Loss: 19.4610 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 09:15:47 |[215]solver.py   | Epoch:   18 | PSNR: 27.04 | Loss: 19.4803 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 09:31:44 |[215]solver.py   | Epoch:   19 | PSNR: 27.03 | Loss: 19.5182 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 09:47:43 |[215]solver.py   | Epoch:   20 | PSNR: 27.04 | Loss: 19.4404 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 10:03:41 |[215]solver.py   | Epoch:   21 | PSNR: 27.02 | Loss: 19.4882 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 10:19:38 |[215]solver.py   | Epoch:   22 | PSNR: 26.95 | Loss: 19.4593 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 10:35:28 |[215]solver.py   | Epoch:   23 | PSNR: 26.99 | Loss: 19.4726 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 10:51:25 |[215]solver.py   | Epoch:   24 | PSNR: 27.04 | Loss: 19.4694 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 11:07:24 |[215]solver.py   | Epoch:   25 | PSNR: 27.04 | Loss: 19.4589 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 11:23:23 |[215]solver.py   | Epoch:   26 | PSNR: 27.01 | Loss: 19.4353 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 11:39:21 |[215]solver.py   | Epoch:   27 | PSNR: 27.03 | Loss: 19.4359 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 11:55:20 |[215]solver.py   | Epoch:   28 | PSNR: 26.97 | Loss: 19.4081 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 12:11:16 |[215]solver.py   | Epoch:   29 | PSNR: 27.03 | Loss: 19.4823 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 12:27:12 |[215]solver.py   | Epoch:   30 | PSNR: 27.00 | Loss: 19.3864 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 12:43:12 |[215]solver.py   | Epoch:   31 | PSNR: 27.06 | Loss: 19.4270 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 12:59:11 |[215]solver.py   | Epoch:   32 | PSNR: 27.04 | Loss: 19.4499 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 13:15:11 |[215]solver.py   | Epoch:   33 | PSNR: 27.01 | Loss: 19.4525 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 13:31:10 |[215]solver.py   | Epoch:   34 | PSNR: 26.97 | Loss: 19.4694 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 13:47:08 |[215]solver.py   | Epoch:   35 | PSNR: 26.99 | Loss: 19.4031 | Best_PSNR: 27.06 in Epoch [17]
2022-04-04 14:03:05 |[215]solver.py   | Epoch:   36 | PSNR: 27.08 | Loss: 19.4197 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 14:19:03 |[215]solver.py   | Epoch:   37 | PSNR: 27.04 | Loss: 19.4006 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 14:35:01 |[215]solver.py   | Epoch:   38 | PSNR: 27.07 | Loss: 19.4163 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 14:50:58 |[215]solver.py   | Epoch:   39 | PSNR: 27.01 | Loss: 19.4600 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 15:06:55 |[215]solver.py   | Epoch:   40 | PSNR: 27.06 | Loss: 19.4231 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 15:22:49 |[215]solver.py   | Epoch:   41 | PSNR: 27.05 | Loss: 19.3723 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 15:38:47 |[215]solver.py   | Epoch:   42 | PSNR: 27.05 | Loss: 19.4418 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 15:54:45 |[215]solver.py   | Epoch:   43 | PSNR: 27.03 | Loss: 19.4100 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 16:10:40 |[215]solver.py   | Epoch:   44 | PSNR: 27.03 | Loss: 19.4212 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 16:26:36 |[215]solver.py   | Epoch:   45 | PSNR: 27.06 | Loss: 19.4544 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 16:42:30 |[215]solver.py   | Epoch:   46 | PSNR: 27.05 | Loss: 19.4662 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 16:58:27 |[215]solver.py   | Epoch:   47 | PSNR: 27.05 | Loss: 19.4081 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 17:14:21 |[215]solver.py   | Epoch:   48 | PSNR: 27.01 | Loss: 19.4105 | Best_PSNR: 27.08 in Epoch [36]
2022-04-04 17:30:17 |[215]solver.py   | Epoch:   49 | PSNR: 26.98 | Loss: 19.3971 | Best_PSNR: 27.08 in Epoch [36]
